customerId,customerName,customerCity,creditcardNumber,accountNumber,job,marital,education,housing,loan
113,David,New York,113,113,self-employed,married,primary,yes,yes
114,Jeanette,San Jose,114,114,blue-collar,married,primary,yes,no
115,Adrian,Houston,115,115,retired,divorced,primary,yes,no
116,Peter,San Fransisco,116,116,blue-collar,married,secondary,yes,no
117,CHRIS,Los Angeles,117,117,admin.,married,secondary,yes,no
118,Rhiannon,Jersey,118,118,management,single,tertiary,yes,no
119,Shelly,San Antonio,119,119,management,divorced,tertiary,no,no
120,Ola,Dallas,120,120,technician,married,primary,no,no
121,Stacey,Santa Clara,121,121,technician,divorced,unknown,yes,no
122,Lisa,Rosselle,122,122,blue-collar,married,secondary,yes,no
123,David,Pittsburgh,123,123,admin.,married,unknown,yes,no
124,Jeanette,Pennsylvania,124,124,services,married,secondary,yes,yes
125,Adrian,Columbia,125,125,technician,married,tertiary,no,yes
126,Peter,Newcastle,126,126,technician,single,secondary,yes,no
127,CHRIS,New York,127,127,admin.,single,secondary,yes,yes
128,Rhiannon,San Jose,128,128,services,married,secondary,yes,yes
129,Shelly,Houston,129,129,blue-collar,married,secondary,yes,no
130,Ola,San Fransisco,130,130,services,married,secondary,yes,no
131,Stacey,Los Angeles,131,131,management,married,unknown,no,no
132,Lisa,Jersey,132,132,admin.,single,secondary,yes,no
133,David,San Antonio,133,133,technician,single,secondary,yes,no
134,Jeanette,Dallas,134,134,admin.,single,secondary,yes,yes
135,Adrian,Santa Clara,135,135,unemployed,single,tertiary,yes,no
136,Peter,Rosselle,136,136,blue-collar,married,secondary,yes,no
137,CHRIS,Pittsburgh,137,137,technician,single,secondary,yes,no
138,Rhiannon,Pennsylvania,138,138,services,single,unknown,no,no
139,Shelly,Columbia,139,139,blue-collar,married,secondary,yes,no
140,Ola,Newcastle,140,140,blue-collar,married,secondary,yes,no
141,Stacey,New York,141,141,housemaid,divorced,primary,yes,no
142,Lisa,San Jose,142,142,self-employed,single,secondary,yes,no
143,David,Houston,143,143,unemployed,married,tertiary,no,no
144,Jeanette,San Fransisco,144,144,blue-collar,married,secondary,yes,no
145,Adrian,Los Angeles,145,145,blue-collar,married,secondary,yes,no
146,Peter,Jersey,146,146,services,married,secondary,yes,no
147,CHRIS,San Antonio,147,147,blue-collar,divorced,primary,yes,no
148,Rhiannon,Dallas,148,148,unemployed,married,secondary,yes,no
149,Shelly,Santa Clara,149,149,services,married,primary,yes,no
150,Ola,Rosselle,150,150,blue-collar,married,primary,yes,no
151,Stacey,Pittsburgh,151,151,blue-collar,married,unknown,yes,no
152,Lisa,Pennsylvania,152,152,student,single,secondary,yes,no
153,David,Columbia,153,153,management,married,tertiary,yes,no
154,Jeanette,Newcastle,154,154,management,married,secondary,yes,no
155,Adrian,New York,155,155,technician,married,primary,no,no
156,Peter,San Jose,156,156,services,married,secondary,yes,no
157,CHRIS,Houston,157,157,blue-collar,married,unknown,yes,no
158,Rhiannon,San Fransisco,158,158,retired,divorced,secondary,yes,no
159,Shelly,Los Angeles,159,159,blue-collar,married,secondary,yes,no
160,Ola,Jersey,160,160,blue-collar,married,secondary,yes,no
161,Stacey,San Antonio,161,161,services,married,unknown,yes,no
162,Lisa,Dallas,162,162,technician,single,tertiary,yes,no
163,David,Santa Clara,163,163,services,single,secondary,yes,no
164,Jeanette,Rosselle,164,164,blue-collar,married,secondary,yes,no
165,Adrian,Pittsburgh,165,165,technician,married,secondary,yes,no
166,Peter,Pennsylvania,166,166,admin.,single,secondary,yes,no
167,CHRIS,Columbia,167,167,management,married,tertiary,yes,no
168,Rhiannon,Newcastle,168,168,technician,married,secondary,yes,no
169,Shelly,New York,169,169,admin.,married,tertiary,no,no
170,Ola,San Jose,170,170,blue-collar,married,primary,no,no
171,Stacey,Houston,171,171,blue-collar,married,secondary,yes,no
172,Lisa,San Fransisco,172,172,services,married,secondary,yes,yes
173,David,Los Angeles,173,173,entrepreneur,married,unknown,yes,no
174,Jeanette,Jersey,174,174,retired,single,primary,no,no
175,Adrian,San Antonio,175,175,admin.,divorced,secondary,yes,no
176,Peter,Dallas,176,176,admin.,divorced,secondary,yes,no
177,CHRIS,Santa Clara,177,177,unemployed,married,secondary,yes,no
178,Rhiannon,Rosselle,178,178,technician,married,secondary,yes,no
179,Shelly,Pittsburgh,179,179,services,married,secondary,yes,no
180,Ola,Pennsylvania,180,180,management,married,secondary,yes,no
181,Stacey,Columbia,181,181,services,married,tertiary,yes,no
182,Lisa,Newcastle,182,182,technician,divorced,secondary,yes,no
183,David,New York,183,183,services,married,secondary,yes,no
184,Jeanette,San Jose,184,184,technician,married,secondary,yes,no
185,Adrian,Houston,185,185,admin.,married,tertiary,yes,no
186,Peter,San Fransisco,186,186,retired,married,primary,yes,no
187,CHRIS,Los Angeles,187,187,services,divorced,unknown,yes,no
188,Rhiannon,Jersey,188,188,management,married,secondary,no,no
189,Shelly,San Antonio,189,189,blue-collar,single,secondary,yes,yes
190,Ola,Dallas,190,190,management,single,tertiary,yes,no
191,Stacey,Santa Clara,191,191,retired,married,secondary,yes,no
192,Lisa,Rosselle,192,192,management,married,tertiary,yes,no
193,David,Pittsburgh,193,193,management,married,tertiary,yes,no
194,Jeanette,Pennsylvania,194,194,admin.,married,secondary,yes,no
195,Adrian,Columbia,195,195,blue-collar,married,secondary,yes,no
196,Peter,Newcastle,196,196,blue-collar,single,secondary,yes,no
197,CHRIS,New York,197,197,services,married,secondary,yes,no
198,Rhiannon,San Jose,198,198,technician,divorced,tertiary,no,yes
199,Shelly,Houston,199,199,management,married,tertiary,yes,no
200,Ola,San Fransisco,200,200,blue-collar,divorced,primary,yes,no
201,Stacey,Los Angeles,201,201,admin.,married,secondary,yes,no
202,Lisa,Jersey,202,202,self-employed,married,tertiary,yes,no
203,David,San Antonio,203,203,blue-collar,married,secondary,yes,no
204,Jeanette,Dallas,204,204,student,single,unknown,yes,no
205,Adrian,Santa Clara,205,205,services,married,secondary,yes,no
206,Peter,Rosselle,206,206,services,married,secondary,yes,no
207,CHRIS,Pittsburgh,207,207,management,married,tertiary,yes,yes
208,Rhiannon,Pennsylvania,208,208,management,married,tertiary,yes,no
209,Shelly,Columbia,209,209,services,single,unknown,yes,no
210,Ola,Newcastle,210,210,retired,married,secondary,yes,no
211,Stacey,New York,211,211,blue-collar,married,secondary,yes,no
212,Lisa,San Jose,212,212,retired,married,secondary,yes,no
213,David,Houston,213,213,housemaid,divorced,primary,no,no
214,Jeanette,San Fransisco,214,214,services,married,secondary,yes,no
215,Adrian,Los Angeles,215,215,blue-collar,married,primary,yes,no
216,Peter,Jersey,216,216,technician,married,tertiary,yes,no
217,CHRIS,San Antonio,217,217,unknown,married,unknown,no,no
218,Rhiannon,Dallas,218,218,unemployed,married,unknown,no,no
219,Shelly,Santa Clara,219,219,housemaid,married,primary,no,no
220,Ola,Rosselle,220,220,management,married,tertiary,yes,yes
221,Stacey,Pittsburgh,221,221,unemployed,married,secondary,yes,no
222,Lisa,Pennsylvania,222,222,blue-collar,married,primary,yes,no
223,David,Columbia,223,223,entrepreneur,divorced,secondary,yes,no
224,Jeanette,Newcastle,224,224,retired,married,secondary,no,yes
225,Adrian,New York,225,225,technician,divorced,unknown,yes,no
226,Peter,San Jose,226,226,blue-collar,married,primary,yes,no
227,CHRIS,Houston,227,227,management,married,unknown,yes,no
228,Rhiannon,San Fransisco,228,228,management,single,tertiary,yes,no
229,Shelly,Los Angeles,229,229,blue-collar,married,unknown,no,no
230,Ola,Jersey,230,230,services,divorced,secondary,yes,no
231,Stacey,San Antonio,231,231,blue-collar,married,primary,yes,no
232,Lisa,Dallas,232,232,services,married,secondary,yes,no
233,David,Santa Clara,233,233,entrepreneur,married,secondary,yes,no
234,Jeanette,Rosselle,234,234,blue-collar,married,unknown,no,no
235,Adrian,Pittsburgh,235,235,blue-collar,married,primary,yes,no
236,Peter,Pennsylvania,236,236,blue-collar,married,primary,yes,no
237,CHRIS,Columbia,237,237,admin.,divorced,secondary,yes,no
238,Rhiannon,Newcastle,238,238,blue-collar,married,primary,yes,no
239,Shelly,New York,239,239,admin.,divorced,secondary,yes,no
240,Ola,San Jose,240,240,blue-collar,divorced,primary,yes,yes
241,Stacey,Houston,241,241,technician,married,secondary,yes,yes
242,Lisa,San Fransisco,242,242,entrepreneur,married,unknown,yes,no
243,David,Los Angeles,243,243,admin.,married,secondary,no,no
244,Jeanette,Jersey,244,244,technician,married,secondary,yes,no
245,Adrian,San Antonio,245,245,management,married,tertiary,yes,no
246,Peter,Dallas,246,246,management,married,unknown,no,no
247,CHRIS,Santa Clara,247,247,blue-collar,single,secondary,yes,no
248,Rhiannon,Rosselle,248,248,management,married,tertiary,yes,no
249,Shelly,Pittsburgh,249,249,blue-collar,married,secondary,yes,no
250,Ola,Pennsylvania,250,250,services,married,secondary,yes,no
251,Stacey,Columbia,251,251,admin.,married,secondary,yes,no
252,Lisa,Newcastle,252,252,blue-collar,married,secondary,yes,yes
253,David,New York,253,253,services,single,secondary,yes,no
254,Jeanette,San Jose,254,254,technician,divorced,secondary,yes,no
255,Adrian,Houston,255,255,management,single,tertiary,yes,no
256,Peter,San Fransisco,256,256,blue-collar,married,primary,yes,no
257,CHRIS,Los Angeles,257,257,entrepreneur,divorced,secondary,yes,no
258,Rhiannon,Jersey,258,258,technician,single,secondary,yes,no
259,Shelly,San Antonio,259,259,services,married,secondary,yes,yes
260,Ola,Dallas,260,260,blue-collar,married,secondary,yes,no
261,Stacey,Santa Clara,261,261,blue-collar,married,secondary,yes,no
262,Lisa,Rosselle,262,262,management,single,tertiary,yes,no
263,David,Pittsburgh,263,263,technician,married,secondary,yes,no
264,Jeanette,Pennsylvania,264,264,management,divorced,tertiary,yes,no
265,Adrian,Columbia,265,265,entrepreneur,married,primary,yes,no
266,Peter,Newcastle,266,266,student,single,tertiary,yes,no
267,CHRIS,New York,267,267,management,single,tertiary,yes,no
268,Rhiannon,San Jose,268,268,admin.,divorced,secondary,yes,no
269,Shelly,Houston,269,269,blue-collar,married,primary,yes,yes
270,Ola,San Fransisco,270,270,blue-collar,married,primary,yes,no
271,Stacey,Los Angeles,271,271,management,single,tertiary,yes,yes
272,Lisa,Jersey,272,272,blue-collar,divorced,primary,yes,no
273,David,San Antonio,273,273,technician,married,secondary,yes,no
274,Jeanette,Dallas,274,274,entrepreneur,divorced,secondary,no,no
275,Adrian,Santa Clara,275,275,admin.,married,secondary,yes,no
276,Peter,Rosselle,276,276,retired,married,secondary,yes,no
277,CHRIS,Pittsburgh,277,277,services,divorced,secondary,yes,no
278,Rhiannon,Pennsylvania,278,278,services,married,secondary,no,no
279,Shelly,Columbia,279,279,services,single,secondary,yes,no
280,Ola,Newcastle,280,280,self-employed,married,tertiary,no,no
281,Stacey,New York,281,281,blue-collar,married,primary,yes,no
282,Lisa,San Jose,282,282,admin.,married,secondary,yes,yes
283,David,Houston,283,283,technician,married,tertiary,no,no
284,Jeanette,San Fransisco,284,284,blue-collar,married,primary,yes,no
285,Adrian,Los Angeles,285,285,blue-collar,single,secondary,yes,no
286,Peter,Jersey,286,286,admin.,single,secondary,yes,no
287,CHRIS,San Antonio,287,287,admin.,married,secondary,yes,no
288,Rhiannon,Dallas,288,288,technician,single,tertiary,yes,no
289,Shelly,Santa Clara,289,289,blue-collar,married,secondary,yes,no
290,Ola,Rosselle,290,290,self-employed,married,secondary,yes,no
291,Stacey,Pittsburgh,291,291,management,married,tertiary,yes,no
292,Lisa,Pennsylvania,292,292,technician,single,unknown,yes,no
293,David,Columbia,293,293,student,single,secondary,yes,no
294,Jeanette,Newcastle,294,294,management,married,tertiary,no,no
295,Adrian,New York,295,295,technician,married,secondary,yes,no
296,Peter,San Jose,296,296,technician,divorced,primary,yes,no
297,CHRIS,Houston,297,297,blue-collar,single,secondary,yes,no
298,Rhiannon,San Fransisco,298,298,student,single,secondary,yes,no
299,Shelly,Los Angeles,299,299,blue-collar,divorced,primary,yes,no
300,Ola,Jersey,300,300,technician,married,secondary,yes,no
301,Stacey,San Antonio,301,301,blue-collar,married,unknown,yes,no
302,Lisa,Dallas,302,302,admin.,married,secondary,yes,no
303,David,Santa Clara,303,303,retired,married,secondary,yes,no
304,Jeanette,Rosselle,304,304,services,single,secondary,yes,no
305,Adrian,Pittsburgh,305,305,services,married,unknown,yes,no
306,Peter,Pennsylvania,306,306,technician,married,secondary,yes,no
307,CHRIS,Columbia,307,307,management,married,tertiary,yes,no
308,Rhiannon,Newcastle,308,308,blue-collar,married,secondary,yes,no
309,Shelly,New York,309,309,blue-collar,married,secondary,yes,yes
310,Ola,San Jose,310,310,management,married,unknown,yes,no
311,Stacey,Houston,311,311,admin.,married,secondary,yes,no
312,Lisa,San Fransisco,312,312,technician,married,unknown,yes,no
313,David,Los Angeles,313,313,services,divorced,primary,yes,yes
314,Jeanette,Jersey,314,314,services,divorced,secondary,yes,yes
315,Adrian,San Antonio,315,315,admin.,single,tertiary,no,no
316,Peter,Dallas,316,316,admin.,married,secondary,yes,no
317,CHRIS,Santa Clara,317,317,blue-collar,married,secondary,yes,yes
318,Rhiannon,Rosselle,318,318,technician,single,secondary,yes,no
319,Shelly,Pittsburgh,319,319,retired,single,primary,no,no
320,Ola,Pennsylvania,320,320,blue-collar,married,secondary,yes,no
321,Stacey,Columbia,321,321,blue-collar,married,secondary,yes,no
322,Lisa,Newcastle,322,322,blue-collar,married,unknown,yes,no
323,David,New York,323,323,management,married,secondary,yes,no
324,Jeanette,San Jose,324,324,technician,divorced,tertiary,no,no
325,Adrian,Houston,325,325,admin.,single,secondary,yes,no
326,Peter,San Fransisco,326,326,management,single,tertiary,no,no
327,CHRIS,Los Angeles,327,327,blue-collar,single,secondary,yes,no
328,Rhiannon,Jersey,328,328,technician,married,tertiary,yes,no
329,Shelly,San Antonio,329,329,technician,married,unknown,yes,no
330,Ola,Dallas,330,330,blue-collar,married,secondary,yes,no
331,Stacey,Santa Clara,331,331,blue-collar,married,secondary,no,no
332,Lisa,Rosselle,332,332,blue-collar,married,unknown,yes,no
333,David,Pittsburgh,333,333,blue-collar,single,secondary,yes,no
334,Jeanette,Pennsylvania,334,334,management,single,tertiary,yes,no
335,Adrian,Columbia,335,335,management,divorced,tertiary,yes,no
336,Peter,Newcastle,336,336,blue-collar,married,secondary,yes,no
337,CHRIS,New York,337,337,admin.,single,secondary,yes,no
338,Rhiannon,San Jose,338,338,technician,married,secondary,yes,yes
339,Shelly,Houston,339,339,admin.,single,secondary,no,no
340,Ola,San Fransisco,340,340,services,single,secondary,yes,no
341,Stacey,Los Angeles,341,341,blue-collar,single,secondary,yes,no
342,Lisa,Jersey,342,342,management,divorced,secondary,yes,no
343,David,San Antonio,343,343,blue-collar,divorced,secondary,yes,no
344,Jeanette,Dallas,344,344,blue-collar,married,primary,yes,no
345,Adrian,Santa Clara,345,345,management,married,tertiary,yes,no
346,Peter,Rosselle,346,346,services,married,unknown,no,no
347,CHRIS,Pittsburgh,347,347,technician,married,secondary,yes,no
348,Rhiannon,Pennsylvania,348,348,blue-collar,married,primary,yes,no
349,Shelly,Columbia,349,349,services,married,tertiary,yes,no
350,Ola,Newcastle,350,350,management,married,tertiary,yes,no
351,Stacey,New York,351,351,management,single,tertiary,yes,no
352,Lisa,San Jose,352,352,blue-collar,married,secondary,yes,no
353,David,Houston,353,353,admin.,married,secondary,yes,no
354,Jeanette,San Fransisco,354,354,blue-collar,married,secondary,yes,no
355,Adrian,Los Angeles,355,355,unknown,divorced,unknown,no,no
356,Peter,Jersey,356,356,admin.,single,secondary,yes,no
357,CHRIS,San Antonio,357,357,blue-collar,single,secondary,yes,no
358,Rhiannon,Dallas,358,358,entrepreneur,single,tertiary,yes,no
359,Shelly,Santa Clara,359,359,blue-collar,married,secondary,yes,no
360,Ola,Rosselle,360,360,admin.,single,tertiary,yes,no
361,Stacey,Pittsburgh,361,361,management,married,tertiary,yes,no
362,Lisa,Pennsylvania,362,362,services,married,secondary,yes,no
363,David,Columbia,363,363,services,married,secondary,yes,no
364,Jeanette,Newcastle,364,364,admin.,married,secondary,yes,yes
365,Adrian,New York,365,365,admin.,married,secondary,yes,no
366,Peter,San Jose,366,366,technician,married,tertiary,yes,no
367,CHRIS,Houston,367,367,admin.,divorced,secondary,yes,no
368,Rhiannon,San Fransisco,368,368,management,divorced,tertiary,yes,no
369,Shelly,Los Angeles,369,369,admin.,divorced,tertiary,yes,no
370,Ola,Jersey,370,370,student,single,secondary,yes,no
371,Stacey,San Antonio,371,371,services,married,secondary,yes,no
372,Lisa,Dallas,372,372,admin.,married,secondary,yes,yes
373,David,Santa Clara,373,373,blue-collar,married,secondary,no,no
374,Jeanette,Rosselle,374,374,admin.,single,secondary,yes,no
375,Adrian,Pittsburgh,375,375,blue-collar,married,unknown,yes,no
376,Peter,Pennsylvania,376,376,blue-collar,single,secondary,yes,no
377,CHRIS,Columbia,377,377,admin.,single,secondary,no,no
378,Rhiannon,Newcastle,378,378,blue-collar,married,primary,yes,no
379,Shelly,New York,379,379,management,married,tertiary,yes,no
380,Ola,San Jose,380,380,blue-collar,married,secondary,yes,no
381,Stacey,Houston,381,381,blue-collar,married,secondary,yes,no
382,Lisa,San Fransisco,382,382,services,married,secondary,yes,yes
383,David,Los Angeles,383,383,management,married,secondary,no,no
384,Jeanette,Jersey,384,384,admin.,married,unknown,no,no
385,Adrian,San Antonio,385,385,blue-collar,married,secondary,yes,no
386,Peter,Dallas,386,386,services,married,secondary,yes,yes
387,CHRIS,Santa Clara,387,387,technician,married,unknown,yes,no
388,Rhiannon,Rosselle,388,388,unemployed,married,secondary,yes,no
389,Shelly,Pittsburgh,389,389,management,married,tertiary,yes,yes
390,Ola,Pennsylvania,390,390,blue-collar,divorced,unknown,yes,no
391,Stacey,Columbia,391,391,retired,divorced,secondary,yes,no
392,Lisa,Newcastle,392,392,technician,married,tertiary,yes,no
393,David,New York,393,393,technician,divorced,tertiary,yes,no
394,Jeanette,San Jose,394,394,admin.,married,secondary,yes,no
395,Adrian,Houston,395,395,blue-collar,married,secondary,yes,no
396,Peter,San Fransisco,396,396,technician,single,secondary,yes,yes
397,CHRIS,Los Angeles,397,397,admin.,single,secondary,yes,no
398,Rhiannon,Jersey,398,398,admin.,married,secondary,no,no
399,Shelly,San Antonio,399,399,blue-collar,married,secondary,no,yes
400,Ola,Dallas,400,400,blue-collar,married,primary,yes,no
401,Stacey,Santa Clara,401,401,housemaid,married,primary,yes,no
402,Lisa,Rosselle,402,402,technician,married,secondary,yes,yes
403,David,Pittsburgh,403,403,self-employed,single,tertiary,yes,no
404,Jeanette,Pennsylvania,404,404,services,married,secondary,yes,no
405,Adrian,Columbia,405,405,technician,married,unknown,no,no
406,Peter,Newcastle,406,406,management,married,tertiary,no,no
407,CHRIS,New York,407,407,retired,married,tertiary,no,no
408,Rhiannon,San Jose,408,408,blue-collar,divorced,primary,yes,no
409,Shelly,Houston,409,409,technician,married,secondary,yes,no
410,Ola,San Fransisco,410,410,blue-collar,married,secondary,yes,no
411,Stacey,Los Angeles,411,411,services,single,secondary,yes,no
412,Lisa,Jersey,412,412,blue-collar,married,primary,yes,no
413,David,San Antonio,413,413,admin.,single,secondary,yes,no
414,Jeanette,Dallas,414,414,admin.,married,secondary,yes,no
415,Adrian,Santa Clara,415,415,entrepreneur,married,tertiary,yes,no
416,Peter,Rosselle,416,416,admin.,divorced,secondary,yes,no
417,CHRIS,Pittsburgh,417,417,technician,married,secondary,no,no
418,Rhiannon,Pennsylvania,418,418,unemployed,married,secondary,yes,no
419,Shelly,Columbia,419,419,blue-collar,divorced,primary,yes,yes
420,Ola,Newcastle,420,420,technician,married,secondary,yes,no
421,Stacey,New York,421,421,management,single,tertiary,yes,no
422,Lisa,San Jose,422,422,management,single,tertiary,yes,no
423,David,Houston,423,423,admin.,single,secondary,yes,no
424,Jeanette,San Fransisco,424,424,blue-collar,married,secondary,yes,no
425,Adrian,Los Angeles,425,425,technician,single,tertiary,yes,no
426,Peter,Jersey,426,426,management,married,secondary,yes,no
427,CHRIS,San Antonio,427,427,services,married,secondary,yes,no
428,Rhiannon,Dallas,428,428,blue-collar,married,primary,yes,no
429,Shelly,Santa Clara,429,429,technician,single,tertiary,yes,no
430,Ola,Rosselle,430,430,blue-collar,married,secondary,yes,no
431,Stacey,Pittsburgh,431,431,admin.,married,secondary,yes,no
432,Lisa,Pennsylvania,432,432,management,married,tertiary,yes,no
433,David,Columbia,433,433,blue-collar,married,secondary,yes,no
434,Jeanette,Newcastle,434,434,blue-collar,married,primary,yes,no
435,Adrian,New York,435,435,blue-collar,married,secondary,yes,no
