accountNumber,accountBalance,housingLoan,vehicleLoan,branchCity
163,176,yes,no,Jersey
164,1225,yes,no,San Antonio
165,86,yes,no,Dallas
166,82,yes,no,Santa Clara
167,271,yes,no,Rosselle
168,1378,yes,no,Pittsburgh
169,184,no,no,Pennsylvania
170,0,no,no,Newcastle
171,0,yes,no,New York
172,1357,yes,yes,San Jose
173,19,yes,no,Houston
174,434,no,no,San Fransisco
175,92,yes,no,Los Angeles
176,1151,yes,no,Jersey
177,41,yes,no,San Antonio
178,51,yes,no,Dallas
179,214,yes,no,Santa Clara
180,1161,yes,no,Rosselle
181,37,yes,no,Pittsburgh
182,787,yes,no,Pennsylvania
183,59,yes,no,Newcastle
184,253,yes,no,New York
185,211,yes,no,San Jose
186,235,yes,no,Houston
187,4384,yes,no,San Fransisco
188,4080,no,no,Los Angeles
189,53,yes,yes,Jersey
190,0,yes,no,San Antonio
191,2127,yes,no,Dallas
192,377,yes,no,Santa Clara
193,73,yes,no,Rosselle
194,445,yes,no,Pittsburgh
195,243,yes,no,Pennsylvania
196,307,yes,no,Newcastle
197,155,yes,no,New York
198,173,no,yes,San Jose
199,400,yes,no,Houston
200,1428,yes,no,San Fransisco
201,219,yes,no,Los Angeles
202,7,yes,no,Jersey
203,575,yes,no,San Antonio
204,298,yes,no,Dallas
205,0,yes,no,Santa Clara
206,5699,yes,no,Rosselle
207,176,yes,yes,Pittsburgh
208,517,yes,no,Pennsylvania
209,257,yes,no,Newcastle
210,56,yes,no,New York
211,-390,yes,no,San Jose
212,330,yes,no,Houston
213,195,no,no,San Fransisco
214,301,yes,no,Los Angeles
215,-41,yes,no,Jersey
216,483,yes,no,San Antonio
217,28,no,no,Dallas
218,13,no,no,Santa Clara
219,965,no,no,Rosselle
220,378,yes,yes,Pittsburgh
221,219,yes,no,Pennsylvania
222,324,yes,no,Newcastle
223,-69,yes,no,New York
224,0,no,yes,San Jose
225,205,yes,no,Houston
226,278,yes,no,San Fransisco
227,1065,yes,no,Los Angeles
228,34,yes,no,Jersey
229,1033,no,no,San Antonio
230,1467,yes,no,Dallas
231,-12,yes,no,Santa Clara
232,388,yes,no,Rosselle
233,294,yes,no,Pittsburgh
234,1827,no,no,Pennsylvania
235,627,yes,no,Newcastle
236,25,yes,no,New York
237,315,yes,no,San Jose
238,0,yes,no,Houston
239,66,yes,no,San Fransisco
240,-9,yes,yes,Los Angeles
241,349,yes,yes,Jersey
242,100,yes,no,San Antonio
243,0,no,no,Dallas
244,434,yes,no,Santa Clara
245,3237,yes,no,Rosselle
246,275,no,no,Pittsburgh
247,0,yes,no,Pennsylvania
248,207,yes,no,Newcastle
249,483,yes,no,New York
250,2248,yes,no,San Jose
251,428,yes,no,Houston
252,0,yes,yes,San Fransisco
253,0,yes,no,Los Angeles
254,140,yes,no,Jersey
255,297,yes,no,San Antonio
256,279,yes,no,Dallas
257,901,yes,no,Santa Clara
258,2573,yes,no,Rosselle
259,143,yes,yes,Pittsburgh
260,475,yes,no,Pennsylvania
261,70,yes,no,Newcastle
262,318,yes,no,New York
263,275,yes,no,San Jose
264,742,yes,no,Houston
265,236,yes,no,San Fransisco
266,25,yes,no,Los Angeles
267,600,yes,no,Jersey
268,-349,yes,no,San Antonio
269,183,yes,yes,Dallas
270,0,yes,no,Santa Clara
271,0,yes,yes,Rosselle
272,0,yes,no,Pittsburgh
273,1078,yes,no,Pennsylvania
274,155,no,no,Newcastle
275,190,yes,no,New York
276,319,yes,no,San Jose
277,-185,yes,no,Houston
278,47,no,no,San Fransisco
279,570,yes,no,Los Angeles
280,19,no,no,Jersey
281,61,yes,no,San Antonio
282,-62,yes,yes,Dallas
283,258,no,no,Santa Clara
284,76,yes,no,Rosselle
285,0,yes,no,Pittsburgh
286,352,yes,no,Pennsylvania
287,368,yes,no,Newcastle
288,339,yes,no,New York
289,1331,yes,no,San Jose
290,672,yes,no,Houston
291,58,yes,no,San Fransisco
292,447,yes,no,Los Angeles
293,423,yes,no,Jersey
294,0,no,no,San Antonio
295,19,yes,no,Dallas
296,13,yes,no,Santa Clara
297,3,yes,no,Rosselle
298,82,yes,no,Pittsburgh
299,28,yes,no,Pennsylvania
300,792,yes,no,Newcastle
301,408,yes,no,New York
302,531,yes,no,San Jose
303,211,yes,no,Houston
304,62,yes,no,San Fransisco
305,257,yes,no,Los Angeles
306,1234,yes,no,Jersey
307,313,yes,no,San Antonio
308,89,yes,no,Dallas
309,129,yes,yes,Santa Clara
310,0,yes,no,Rosselle
311,353,yes,no,Pittsburgh
312,851,yes,no,Pennsylvania
313,96,yes,yes,Newcastle
314,398,yes,yes,New York
315,193,no,no,San Jose
316,-358,yes,no,Houston
317,539,yes,yes,San Fransisco
318,0,yes,no,Los Angeles
319,0,no,no,Jersey
320,490,yes,no,San Antonio
321,0,yes,no,Dallas
322,403,yes,no,Santa Clara
323,161,yes,no,Rosselle
324,2558,no,no,Pittsburgh
325,98,yes,no,Pennsylvania
326,115,no,no,Newcastle
327,436,yes,no,New York
328,831,yes,no,San Jose
329,206,yes,no,Houston
330,290,yes,no,San Fransisco
331,1,no,no,Los Angeles
332,57,yes,no,Jersey
333,-457,yes,no,San Antonio
334,1387,yes,no,Dallas
335,24598,yes,no,Santa Clara
336,30,yes,no,Rosselle
337,1022,yes,no,Pittsburgh
338,56,yes,yes,Pennsylvania
339,-2,no,no,Newcastle
340,121,yes,no,New York
341,842,yes,no,San Jose
342,693,yes,no,Houston
343,-333,yes,no,San Fransisco
344,1533,yes,no,Los Angeles
345,46,yes,no,Jersey
346,18,no,no,San Antonio
347,44,yes,no,Dallas
348,-100,yes,no,Santa Clara
349,510,yes,no,Rosselle
350,685,yes,no,Pittsburgh
351,187,yes,no,Pennsylvania
352,66,yes,no,Newcastle
353,560,yes,no,New York
354,0,yes,no,San Jose
355,27,no,no,Houston
356,12,yes,no,San Fransisco
357,34,yes,no,Los Angeles
358,1068,yes,no,Jersey
359,211,yes,no,San Antonio
360,377,yes,no,Dallas
361,263,yes,no,Santa Clara
362,1263,yes,no,Rosselle
363,8,yes,no,Pittsburgh
364,126,yes,yes,Pennsylvania
365,230,yes,no,Newcastle
366,841,yes,no,New York
367,308,yes,no,San Jose
368,1,yes,no,Houston
369,86,yes,no,San Fransisco
370,157,yes,no,Los Angeles
371,22,yes,no,Jersey
372,46,yes,yes,San Antonio
373,1293,no,no,Dallas
374,122,yes,no,Santa Clara
375,131,yes,no,Rosselle
376,143,yes,no,Pittsburgh
377,393,no,no,Pennsylvania
378,98,yes,no,Newcastle
379,0,yes,no,New York
380,224,yes,no,San Jose
381,757,yes,no,Houston
382,245,yes,yes,San Fransisco
383,8486,no,no,Los Angeles
384,350,no,no,Jersey
385,20,yes,no,San Antonio
386,1667,yes,yes,Dallas
387,345,yes,no,Santa Clara
388,10,yes,no,Rosselle
389,830,yes,yes,Pittsburgh
390,29,yes,no,Pennsylvania
391,545,yes,no,Newcastle
392,8730,yes,no,New York
393,477,yes,no,San Jose
394,4,yes,no,Houston
395,1205,yes,no,San Fransisco
396,0,yes,yes,Los Angeles
397,263,yes,no,Jersey
398,1,no,no,San Antonio
399,283,no,yes,Dallas
400,206,yes,no,Santa Clara
401,17,yes,no,Rosselle
402,141,yes,yes,Pittsburgh
403,16,yes,no,Pennsylvania
404,206,yes,no,Newcastle
405,7,no,no,New York
406,0,no,no,San Jose
407,0,no,no,Houston
408,1927,yes,no,San Fransisco
409,284,yes,no,Los Angeles
410,1660,yes,no,Jersey
411,406,yes,no,San Antonio
412,230,yes,no,Dallas
413,-25,yes,no,Santa Clara
414,182,yes,no,Rosselle
415,1169,yes,no,Pittsburgh
416,67,yes,no,Pennsylvania
417,77,no,no,Newcastle
418,0,yes,no,New York
419,55,yes,yes,San Jose
420,72,yes,no,Houston
421,163,yes,no,San Fransisco
422,151,yes,no,Los Angeles
423,113,yes,no,Jersey
424,0,yes,no,San Antonio
425,9,yes,no,Dallas
426,375,yes,no,Santa Clara
427,1142,yes,no,Rosselle
428,2102,yes,no,Pittsburgh
429,4325,yes,no,Pennsylvania
430,217,yes,no,Newcastle
431,131,yes,no,New York
432,1680,yes,no,San Jose
433,0,yes,no,Houston
434,46,yes,no,San Fransisco
435,320,yes,no,Los Angeles
436,183,yes,no,Jersey
437,39,no,no,San Antonio
438,560,yes,no,Dallas
439,469,no,no,Santa Clara
440,530,yes,no,Rosselle
441,61,yes,no,Pittsburgh
442,242,yes,no,Pennsylvania
443,139,yes,no,Newcastle
444,0,yes,no,New York
445,367,yes,no,San Jose
446,228,yes,no,Houston
447,45248,yes,no,San Fransisco
448,-84,yes,no,Los Angeles
449,310,yes,no,Jersey
450,132,yes,no,San Antonio
451,797,yes,no,Dallas
452,71,no,no,Santa Clara
453,2,yes,no,Rosselle
454,231,yes,yes,Pittsburgh
455,270,yes,yes,Pennsylvania
456,274,yes,yes,Newcastle
457,-109,yes,yes,New York
458,1,yes,no,San Jose
459,-60,no,no,Houston
460,89,yes,no,San Fransisco
461,-11,no,no,Los Angeles
462,0,yes,no,Jersey
463,-509,yes,no,San Antonio
464,408,yes,no,Dallas
465,58,yes,no,Santa Clara
466,1640,no,yes,Rosselle
467,20,yes,no,Pittsburgh
468,71,yes,no,Pennsylvania
469,52,yes,no,Newcastle
470,292,yes,no,New York
471,424,yes,no,San Jose
472,109,yes,no,Houston
473,1044,yes,no,San Fransisco
474,983,yes,no,Los Angeles
475,869,no,no,Jersey
476,668,yes,no,San Antonio
477,964,yes,no,Dallas
478,301,yes,no,Santa Clara
479,140,yes,no,Rosselle
480,1877,yes,no,Pittsburgh
481,1127,yes,no,Pennsylvania
482,871,yes,no,Newcastle
483,767,yes,yes,New York
484,0,no,no,San Jose
485,209,yes,no,Houston
486,0,no,no,San Fransisco
487,110,yes,yes,Los Angeles
488,-76,yes,yes,Jersey
489,178,yes,no,San Antonio
490,-66,yes,no,Dallas
491,0,yes,no,Santa Clara
492,1,yes,no,Rosselle
493,0,yes,no,Pittsburgh
494,5345,no,no,Pennsylvania
495,-209,yes,no,Newcastle
496,0,yes,no,New York
497,42,yes,no,San Jose
498,41,yes,no,Houston
499,-99,yes,no,San Fransisco
500,17,yes,no,Los Angeles
501,276,yes,yes,Jersey
502,-170,no,no,San Antonio
503,230,yes,yes,Dallas
504,9,yes,no,Santa Clara
505,946,yes,no,Rosselle
506,1297,yes,no,Pittsburgh
507,-331,yes,no,Pennsylvania
508,44,yes,no,Newcastle
509,15,no,no,New York
510,712,yes,no,San Jose
511,5435,yes,no,Houston
512,507,yes,no,San Fransisco
513,387,yes,no,Los Angeles
514,0,yes,yes,Jersey
515,1716,yes,no,San Antonio
516,167,yes,yes,Dallas
517,40,no,yes,Santa Clara
518,148,yes,no,Rosselle
519,17,yes,yes,Pittsburgh
520,1011,yes,no,Pennsylvania
521,1527,yes,no,Newcastle
522,744,no,no,New York
523,484,yes,no,San Jose
524,0,yes,no,Houston
525,136,yes,no,San Fransisco
526,1335,yes,no,Los Angeles
527,517,yes,no,Jersey
528,459,yes,no,San Antonio
529,549,yes,no,Dallas
530,83,yes,yes,Santa Clara
531,213,no,no,Rosselle
532,203,yes,no,Pittsburgh
533,518,yes,no,Pennsylvania
534,3877,yes,no,Newcastle
535,1236,yes,no,New York
536,756,yes,no,San Jose
537,157,yes,no,Houston
538,-66,yes,no,San Fransisco
539,245,yes,no,Los Angeles
540,-144,yes,no,Jersey
541,71,yes,no,San Antonio
542,505,yes,no,Dallas
543,249,yes,no,Santa Clara
544,0,yes,no,Rosselle
545,11,yes,no,Pittsburgh
546,639,yes,no,Pennsylvania
547,124,yes,no,Newcastle
548,82,yes,no,New York
549,107,yes,no,San Jose
550,473,yes,no,Houston
551,372,yes,yes,San Fransisco
552,46,yes,no,Los Angeles
553,34,yes,no,Jersey
554,935,yes,no,San Antonio
555,-10,yes,no,Dallas
556,-106,yes,no,Santa Clara
557,471,yes,no,Rosselle
558,778,yes,no,Pittsburgh
559,170,yes,no,Pennsylvania
560,315,yes,no,Newcastle
561,3165,no,no,New York
562,131,yes,no,San Jose
563,204,yes,no,Houston
564,83,yes,no,San Fransisco
565,0,yes,yes,Los Angeles
566,5431,yes,yes,Jersey
567,1759,yes,no,San Antonio
568,-125,yes,no,Dallas
569,0,no,no,Santa Clara
570,5090,yes,no,Rosselle
571,573,yes,no,Pittsburgh
572,1602,yes,no,Pennsylvania
573,-137,yes,yes,Newcastle
574,0,no,no,New York
575,193,no,no,San Jose
576,195,yes,yes,Houston
577,288,no,no,San Fransisco
578,19,yes,no,Los Angeles
579,25,yes,no,Jersey
580,216,yes,no,San Antonio
581,190,yes,yes,Dallas
582,99,yes,no,Santa Clara
583,2298,yes,no,Rosselle
584,17,yes,no,Pittsburgh
585,0,yes,no,Pennsylvania
586,0,yes,no,Newcastle
587,840,yes,no,New York
588,358,yes,no,San Jose
589,0,yes,no,Houston
590,-325,yes,yes,San Fransisco
591,-15,yes,no,Los Angeles
592,581,yes,no,Jersey
593,4070,yes,no,San Antonio
594,74,no,yes,Dallas
595,141,yes,no,Santa Clara
596,89,no,no,Rosselle
597,0,yes,no,Pittsburgh
598,450,no,no,Pennsylvania
599,310,no,no,Newcastle
600,0,yes,no,New York
601,384,yes,no,San Jose
602,395,yes,no,Houston
603,-118,yes,no,San Fransisco
604,5,yes,yes,Los Angeles
605,50,yes,yes,Jersey
606,285,yes,yes,San Antonio
607,15,no,no,Dallas
608,653,yes,yes,Santa Clara
609,918,yes,no,Rosselle
610,243,yes,yes,Pittsburgh
611,405,yes,no,Pennsylvania
612,1328,yes,no,Newcastle
613,255,yes,no,New York
614,3397,yes,no,San Jose
615,2106,yes,no,Houston
616,2877,yes,no,San Fransisco
617,60,yes,yes,Los Angeles
618,2226,yes,no,Jersey
619,2880,yes,no,San Antonio
620,-5,yes,no,Dallas
621,147,no,no,Santa Clara
622,7,yes,yes,Rosselle
623,109,yes,no,Pittsburgh
624,-119,yes,no,Pennsylvania
625,484,yes,no,Newcastle
626,1852,yes,no,New York
627,533,yes,no,San Jose
628,21,yes,no,Houston
629,2434,yes,no,San Fransisco
630,90,yes,yes,Los Angeles
631,4246,yes,no,Jersey
632,395,yes,no,San Antonio
633,15,yes,no,Dallas
634,85,no,no,Santa Clara
635,-184,yes,yes,Rosselle
636,660,no,no,Pittsburgh
637,-183,yes,no,Pennsylvania
638,1144,yes,no,Newcastle
639,1,yes,no,New York
640,69,yes,yes,San Jose
641,220,yes,no,Houston
642,332,yes,no,San Fransisco
643,240,yes,no,Los Angeles
644,0,yes,no,Jersey
645,0,yes,no,San Antonio
646,898,yes,no,Dallas
647,123,yes,yes,Santa Clara
648,252,yes,no,Rosselle
649,65,yes,no,Pittsburgh
650,-366,yes,yes,Pennsylvania
651,209,yes,no,Newcastle
652,221,yes,no,New York
653,4,yes,no,San Jose
654,104,yes,no,Houston
655,312,yes,no,San Fransisco
656,-349,yes,no,Los Angeles
657,4,no,no,Jersey
658,-322,yes,yes,San Antonio
659,-150,yes,no,Dallas
660,1349,yes,no,Santa Clara
661,281,yes,no,Rosselle
662,1259,yes,no,Pittsburgh
663,101,yes,no,Pennsylvania
664,848,yes,no,Newcastle
665,89,yes,no,New York
666,140,yes,no,San Jose
667,148,yes,no,Houston
668,200,yes,no,San Fransisco
669,46,yes,no,Los Angeles
670,201,yes,no,Jersey
671,530,yes,no,San Antonio
672,0,yes,no,Dallas
673,1,yes,no,Santa Clara
674,43,yes,no,Rosselle
675,-173,yes,no,Pittsburgh
676,389,yes,no,Pennsylvania
677,215,yes,yes,Newcastle
678,-131,yes,no,New York
679,783,yes,no,San Jose
680,0,yes,no,Houston
681,80,yes,no,San Fransisco
682,105,yes,no,Los Angeles
683,182,yes,yes,Jersey
684,82,yes,no,San Antonio
685,0,yes,no,Dallas
686,510,yes,no,Santa Clara
687,242,yes,no,Rosselle
688,244,yes,yes,Pittsburgh
689,92,yes,no,Pennsylvania
690,0,yes,no,Newcastle
691,948,yes,no,New York
692,23,yes,no,San Jose
693,710,yes,no,Houston
694,1205,yes,no,San Fransisco
695,368,yes,yes,Los Angeles
696,1631,yes,no,Jersey
697,6,yes,no,San Antonio
698,26,yes,no,Dallas
699,-48,yes,no,Santa Clara
700,2142,yes,no,Rosselle
701,77,yes,yes,Pittsburgh
702,401,yes,no,Pennsylvania
703,21,no,no,Newcastle
704,0,yes,no,New York
705,-497,yes,no,San Jose
706,369,no,no,Houston
707,78,yes,no,San Fransisco
708,226,yes,yes,Los Angeles
709,503,yes,no,Jersey
710,372,yes,no,San Antonio
711,0,yes,yes,Dallas
712,0,yes,no,Santa Clara
713,125,yes,no,Rosselle
714,4,yes,no,Pittsburgh
715,419,yes,no,Pennsylvania
716,322,yes,no,Newcastle
717,303,yes,no,New York
718,607,yes,no,San Jose
719,579,yes,no,Houston
720,3047,yes,no,San Fransisco
721,83,yes,no,Los Angeles
722,68,yes,no,Jersey
723,58,yes,no,San Antonio
724,251,yes,no,Dallas
725,688,yes,no,Santa Clara
726,364,yes,no,Rosselle
727,55,yes,no,Pittsburgh
728,101,yes,no,Pennsylvania
729,105,yes,no,Newcastle
730,325,yes,no,New York
731,198,yes,no,San Jose
732,209,yes,no,Houston
733,183,yes,no,San Fransisco
734,105,yes,no,Los Angeles
735,109,yes,no,Jersey
736,376,yes,yes,San Antonio
737,-7,yes,no,Dallas
738,0,no,no,Santa Clara
739,143,yes,no,Rosselle
740,550,yes,no,Pittsburgh
741,162,yes,no,Pennsylvania
742,115,yes,no,Newcastle
743,512,yes,no,New York
744,807,yes,no,San Jose
745,248,yes,no,Houston
746,1211,yes,no,San Fransisco
747,7,no,no,Los Angeles
748,281,yes,no,Jersey
749,88,yes,no,San Antonio
750,32,yes,no,Dallas
751,115,yes,no,Santa Clara
752,254,yes,no,Rosselle
753,144,yes,no,Pittsburgh
754,383,no,no,Pennsylvania
755,569,yes,yes,Newcastle
756,0,yes,no,New York
757,3754,yes,no,San Jose
758,6920,yes,no,Houston
759,307,yes,yes,San Fransisco
760,-421,yes,no,Los Angeles
761,60,no,no,Jersey
762,67,yes,no,San Antonio
763,402,yes,no,Dallas
764,800,no,no,Santa Clara
765,239,yes,yes,Rosselle
766,421,yes,no,Pittsburgh
767,161,yes,no,Pennsylvania
768,289,no,no,Newcastle
769,110,yes,no,New York
770,245,yes,no,San Jose
771,0,yes,no,Houston
772,156,yes,no,San Fransisco
773,0,yes,no,Los Angeles
774,20,yes,no,Jersey
775,92,yes,no,San Antonio
776,89,yes,no,Dallas
777,166,yes,no,Santa Clara
778,103,yes,no,Rosselle
779,-454,yes,no,Pittsburgh
780,445,yes,no,Pennsylvania
781,4,no,no,Newcastle
782,1001,yes,no,New York
783,-69,yes,no,San Jose
784,42,yes,no,Houston
785,1617,yes,no,San Fransisco
786,221,yes,no,Los Angeles
787,210,yes,yes,Jersey
788,0,no,no,San Antonio
789,185,yes,no,Dallas
790,836,yes,no,Santa Clara
791,301,yes,no,Rosselle
792,503,yes,no,Pittsburgh
793,407,yes,no,Pennsylvania
794,53,yes,no,Newcastle
795,2303,yes,no,New York
796,144,yes,no,San Jose
797,205,yes,no,Houston
798,305,yes,no,San Fransisco
799,251,yes,yes,Los Angeles
800,0,yes,no,Jersey
801,8,no,no,San Antonio
802,139,yes,no,Dallas
803,184,yes,no,Santa Clara
804,238,yes,no,Rosselle
805,0,no,no,Pittsburgh
806,0,yes,no,Pennsylvania
807,222,yes,no,Newcastle
808,414,yes,no,New York
809,223,yes,no,San Jose
810,197,no,no,Houston
811,-251,yes,no,San Fransisco
812,-139,yes,no,Los Angeles
813,733,yes,no,Jersey
814,0,yes,no,San Antonio
815,1,no,no,Dallas
816,97,yes,no,Santa Clara
817,435,yes,no,Rosselle
818,0,yes,no,Pittsburgh
819,147,no,no,Pennsylvania
820,3,yes,no,Newcastle
821,1109,yes,yes,New York
822,404,yes,no,San Jose
823,981,yes,no,Houston
824,95,yes,no,San Fransisco
825,302,yes,no,Los Angeles
826,-290,yes,yes,Jersey
827,259,yes,no,San Antonio
828,527,yes,yes,Dallas
829,102,yes,no,Santa Clara
830,872,yes,no,Rosselle
831,490,yes,no,Pittsburgh
832,19,yes,no,Pennsylvania
833,16,yes,no,Newcastle
834,386,yes,no,New York
835,539,yes,no,San Jose
836,-329,yes,no,Houston
837,-174,yes,no,San Fransisco
838,68,yes,no,Los Angeles
839,-532,yes,no,Jersey
840,0,yes,no,San Antonio
841,64,yes,no,Dallas
842,1415,yes,no,Santa Clara
843,147,yes,no,Rosselle
844,72,yes,no,Pittsburgh
845,-196,yes,no,Pennsylvania
846,716,yes,no,Newcastle
847,0,yes,no,New York
848,-246,yes,no,San Jose
849,-203,yes,no,Houston
850,245,yes,yes,San Fransisco
851,342,yes,no,Los Angeles
852,3,yes,no,Jersey
853,-248,yes,yes,San Antonio
854,376,yes,no,Dallas
855,370,yes,no,Santa Clara
856,594,yes,no,Rosselle
857,387,yes,no,Pittsburgh
858,208,yes,no,Pennsylvania
859,563,yes,no,Newcastle
860,392,yes,yes,New York
861,165,no,no,San Jose
862,236,yes,no,Houston
863,52,yes,no,San Fransisco
864,1265,yes,no,Los Angeles
865,693,yes,no,Jersey
866,118,yes,no,San Antonio
867,3659,yes,no,Dallas
868,24,yes,no,Santa Clara
869,673,yes,no,Rosselle
870,273,no,no,Pittsburgh
871,327,yes,no,Pennsylvania
872,299,yes,no,Newcastle
873,0,yes,no,New York
874,109,yes,no,San Jose
875,552,no,no,Houston
876,473,yes,no,San Fransisco
877,414,yes,no,Los Angeles
878,154,yes,no,Jersey
879,344,yes,no,San Antonio
880,8,yes,no,Dallas
881,78,yes,no,Santa Clara
882,266,yes,no,Rosselle
883,98,yes,yes,Pittsburgh
884,83,yes,no,Pennsylvania
885,45,yes,no,Newcastle
886,8,yes,no,New York
887,263,yes,no,San Jose
888,306,yes,no,Houston
889,233,yes,no,San Fransisco
890,447,no,yes,Los Angeles
891,872,yes,no,Jersey
892,-291,yes,yes,San Antonio
893,309,yes,yes,Dallas
894,202,yes,no,Santa Clara
895,56,yes,yes,Rosselle
896,229,yes,yes,Pittsburgh
897,143,yes,no,Pennsylvania
898,100,yes,no,Newcastle
899,326,yes,no,New York
900,167,yes,no,San Jose
901,545,yes,no,Houston
902,2100,yes,yes,San Fransisco
903,0,yes,yes,Los Angeles
904,192,yes,no,Jersey
905,442,yes,no,San Antonio
906,267,yes,no,Dallas
907,0,yes,no,Santa Clara
908,377,yes,no,Rosselle
909,7624,no,no,Pittsburgh
910,66,yes,no,Pennsylvania
911,37,yes,no,Newcastle
912,64,yes,no,New York
913,34,yes,no,San Jose
914,627,yes,no,Houston
915,1013,yes,no,San Fransisco
916,140,yes,no,Los Angeles
917,8823,yes,no,Jersey
918,97,yes,no,San Antonio
919,5,yes,no,Dallas
920,74,yes,no,Santa Clara
921,58544,yes,no,Rosselle
